N,M
36,41
38,41
3,42
8,42
10,42
11,42
14,42
15,42
21,42
22,42
24,42
25,42
28,42
30,42
35,42
38,42
41,42
3,43
8,43
10,43
11,43
14,43
15,43
21,43
22,43
24,43
25,43
28,43
30,43
35,43
38,43
41,43
42,43
3,44
8,44
10,44
11,44
14,44
15,44
24,44
25,44
28,44
30,44
35,44
38,44
41,44
42,44
43,44
3,45
8,45
10,45
11,45
14,45
15,45
24,45
25,45
28,45
30,45
35,45
38,45
41,45
42,45
43,45
44,45
3,46
8,46
10,46
11,46
14,46
15,46
24,46
25,46
28,46
30,46
35,46
38,46
42,46
43,46
44,46
3,47
8,47
10,47
11,47
14,47
15,47
24,47
25,47
28,47
30,47
35,47
38,47
42,47
43,47
44,47
46,47
3,48
8,48
10,48
11,48
14,48
15,48
24,48
25,48
28,48
30,48
35,48
38,48
42,48
43,48
44,48
46,48
10,49
11,49
14,49
24,49
25,49
35,49
38,49
42,49
43,49
44,49
46,49
48,49
10,50
11,50
14,50
24,50
25,50
35,50
38,50
42,50
43,50
44,50
46,50
48,50
49,50
10,51
11,51
14,51
24,51
25,51
35,51
42,51
43,51
44,51
46,51
48,51
49,51
50,51
10,52
11,52
14,52
24,52
25,52
35,52
42,52
43,52
44,52
46,52
48,52
49,52
50,52
51,52
10,53
11,53
14,53
24,53
25,53
35,53
42,53
43,53
44,53
48,53
49,53
50,53
51,53
52,53
10,54
11,54
24,54
25,54
35,54
42,54
43,54
44,54
48,54
49,54
50,54
51,54
52,54
10,55
11,55
24,55
25,55
35,55
42,55
43,55
44,55
48,55
49,55
50,55
51,55
52,55
10,56
11,56
24,56
25,56
35,56
42,56
43,56
44,56
48,56
50,56
51,56
52,56
55,56
10,57
11,57
24,57
25,57
35,57
42,57
43,57
44,57
48,57
50,57
51,57
52,57
55,57
10,58
11,58
24,58
25,58
35,58
42,58
43,58
44,58
48,58
50,58
51,58
52,58
55,58
11,59
24,59
25,59
35,59
42,59
43,59
44,59
48,59
51,59
52,59
55,59
58,59
11,60
24,60
25,60
35,60
42,60
43,60
44,60
48,60
51,60
52,60
55,60
58,60
59,60
11,61
24,61
25,61
35,61
42,61
43,61
44,61
48,61
51,61
52,61
58,61
59,61
11,62
24,62
25,62
35,62
42,62
43,62
44,62
48,62
51,62
52,62
58,62
59,62
11,64
24,64
25,64
35,64
42,64
43,64
44,64
48,64
51,64
52,64
58,64
59,64
62,64
11,65
24,65
25,65
35,65
42,65
43,65
44,65
48,65
51,65
52,65
58,65
59,65
62,65
64,65
11,66
24,66
25,66
35,66
42,66
43,66
44,66
48,66
51,66
52,66
58,66
59,66
62,66
64,66
65,66
11,67
24,67
25,67
35,67
42,67
43,67
44,67
48,67
51,67
52,67
58,67
59,67
62,67
64,67
65,67
66,67
11,68
24,68
25,68
35,68
42,68
43,68
44,68
48,68
51,68
52,68
58,68
59,68
62,68
64,68
65,68
66,68
67,68
11,69
24,69
25,69
35,69
42,69
43,69
44,69
48,69
51,69
52,69
58,69
59,69
62,69
64,69
65,69
66,69
67,69
68,69
11,70
24,70
25,70
42,70
43,70
44,70
48,70
51,70
52,70
58,70
59,70
62,70
64,70
65,70
66,70
67,70
68,70
69,70
11,71
24,71
25,71
42,71
43,71
44,71
48,71
51,71
52,71
58,71
59,71
62,71
65,71
66,71
67,71
68,71
69,71
70,71
11,72
24,72
25,72
42,72
43,72
44,72
48,72
51,72
52,72
58,72
59,72
62,72
65,72
66,72
67,72
68,72
69,72
70,72
71,72
11,73
24,73
25,73
42,73
43,73
44,73
48,73
51,73
52,73
58,73
59,73
62,73
65,73
66,73
67,73
68,73
69,73
70,73
71,73
72,73
11,74
24,74
25,74
42,74
43,74
44,74
48,74
51,74
52,74
58,74
59,74
62,74
65,74
66,74
67,74
68,74
69,74
70,74
71,74
72,74
73,74
11,75
24,75
25,75
42,75
43,75
44,75
48,75
51,75
58,75
59,75
62,75
65,75
66,75
67,75
68,75
69,75
70,75
71,75
72,75
73,75
11,76
24,76
25,76
42,76
43,76
44,76
48,76
51,76
58,76
62,76
65,76
66,76
68,76
69,76
70,76
71,76
72,76
73,76
75,76
11,77
24,77
25,77
42,77
43,77
44,77
48,77
51,77
58,77
62,77
66,77
68,77
69,77
70,77
71,77
72,77
73,77
75,77
11,78
24,78
25,78
42,78
43,78
44,78
48,78
51,78
58,78
62,78
66,78
68,78
69,78
70,78
71,78
72,78
73,78
75,78
77,78
11,79
24,79
25,79
42,79
43,79
44,79
48,79
51,79
58,79
62,79
66,79
69,79
70,79
71,79
72,79
73,79
75,79
77,79
78,79
11,80
24,80
25,80
42,80
43,80
44,80
48,80
51,80
58,80
62,80
66,80
69,80
70,80
71,80
72,80
73,80
75,80
77,80
78,80
11,81
24,81
25,81
42,81
43,81
44,81
48,81
51,81
58,81
62,81
66,81
69,81
70,81
71,81
72,81
73,81
75,81
77,81
78,81
80,81
11,82
24,82
25,82
42,82
43,82
44,82
48,82
51,82
58,82
62,82
66,82
69,82
70,82
71,82
72,82
73,82
77,82
78,82
80,82
81,82
11,83
24,83
25,83
42,83
43,83
44,83
48,83
51,83
58,83
62,83
69,83
71,83
72,83
73,83
77,83
78,83
80,83
81,83
82,83
11,84
24,84
25,84
42,84
43,84
44,84
48,84
51,84
58,84
62,84
69,84
71,84
72,84
73,84
77,84
78,84
81,84
82,84
11,85
24,85
25,85
42,85
43,85
44,85
48,85
51,85
58,85
62,85
69,85
71,85
72,85
73,85
77,85
78,85
81,85
82,85
84,85
11,86
24,86
25,86
42,86
43,86
44,86
48,86
51,86
58,86
62,86
69,86
71,86
72,86
73,86
77,86
78,86
81,86
82,86
84,86
85,86
11,87
24,87
25,87
42,87
43,87
44,87
48,87
51,87
58,87
62,87
69,87
71,87
72,87
73,87
77,87
78,87
81,87
82,87
84,87
85,87
11,88
24,88
25,88
42,88
43,88
44,88
48,88
51,88
58,88
62,88
69,88
71,88
72,88
73,88
77,88
78,88
81,88
82,88
84,88
85,88
87,88
11,89
24,89
25,89
42,89
43,89
44,89
48,89
51,89
58,89
62,89
69,89
71,89
72,89
73,89
77,89
78,89
81,89
82,89
84,89
85,89
87,89
88,89
11,90
24,90
25,90
42,90
43,90
44,90
48,90
51,90
58,90
62,90
69,90
71,90
72,90
73,90
77,90
78,90
81,90
82,90
84,90
85,90
87,90
88,90
89,90
11,91
24,91
25,91
42,91
44,91
48,91
51,91
58,91
62,91
69,91
71,91
72,91
73,91
77,91
78,91
81,91
82,91
84,91
85,91
87,91
88,91
89,91
11,92
24,92
25,92
42,92
44,92
48,92
51,92
58,92
62,92
69,92
71,92
72,92
73,92
77,92
78,92
81,92
84,92
85,92
87,92
88,92
91,92
11,94
24,94
25,94
42,94
44,94
48,94
51,94
58,94
62,94
69,94
71,94
72,94
73,94
77,94
78,94
81,94
84,94
85,94
87,94
88,94
91,94
92,94
11,95
24,95
25,95
42,95
44,95
48,95
51,95
58,95
62,95
69,95
71,95
72,95
73,95
77,95
78,95
81,95
84,95
85,95
87,95
88,95
91,95
92,95
11,96
24,96
25,96
42,96
44,96
51,96
58,96
62,96
69,96
71,96
72,96
73,96
77,96
78,96
81,96
84,96
85,96
87,96
88,96
91,96
95,96
11,97
24,97
25,97
42,97
44,97
51,97
58,97
62,97
69,97
71,97
73,97
77,97
78,97
81,97
84,97
91,97
95,97
96,97
11,98
24,98
25,98
42,98
44,98
58,98
62,98
69,98
71,98
73,98
77,98
81,98
84,98
95,98
96,98
11,99
24,99
25,99
42,99
44,99
58,99
62,99
69,99
71,99
73,99
77,99
81,99
84,99
95,99
96,99
98,99
11,100
24,100
25,100
42,100
44,100
58,100
62,100
69,100
71,100
73,100
77,100
81,100
84,100
95,100
96,100
98,100
11,101
42,101
44,101
58,101
62,101
69,101
71,101
73,101
77,101
81,101
84,101
95,101
96,101
11,102
42,102
44,102
58,102
62,102
69,102
71,102
73,102
77,102
81,102
84,102
95,102
96,102
11,103
42,103
44,103
58,103
62,103
69,103
71,103
73,103
77,103
81,103
84,103
95,103
96,103
11,104
42,104
44,104
58,104
62,104
69,104
71,104
73,104
77,104
81,104
84,104
95,104
96,104
103,104
11,105
42,105
44,105
58,105
62,105
69,105
71,105
73,105
77,105
81,105
84,105
95,105
96,105
103,105
44,106
58,106
77,106
103,106
105,106
